L&D TRACKER — Enterprise Infrastructure Implementation (Confirmed Stack)
Trainee Name:,[Your Name],Department:,Technology / Digital Onboarding,Mentor:,Senior DevOps Engineer
Project:,ePricing Service — Enterprise Upgrade,Updated Date:,14-Aug-2026,Status:,In Progress
Confirmed Stack:,Grafana · Prometheus · OpenTelemetry · Loki · Tempo · Dapr · Dynatrace · Kubernetes · YugabyteDB · PostgreSQL · SonarQube

Task ID,Phase,Module,Task Description,Start Date,Target Date,Actual End,Status,Priority,Prerequisites,Progress %,Effort Days,Success Criteria
  PHASE 0 — Foundation Revision  (Spring Boot Internals · Spring Core/DI)  [IN REVISION],,,,,,,,,,,,
AT-00a,P0 — Foundation,Spring Boot 3 Internals,"Revise: @SpringBootApplication, @EnableAutoConfiguration, @Conditional, spring.factories/AutoConfiguration.imports; Bean lifecycle; ApplicationContext vs BeanFactory; @ConfigurationProperties; Spring Profiles; Actuator endpoint internals",10-Jul-26,30-Aug-26,-,In Revision,High,AT-02,40%,5,Can trace bean creation in debugger; can explain @Conditional chain for any auto-config; spring.factories mechanism understood
AT-00b,P0 — Foundation,Spring Core — DI & AOP,Revise: @Autowired field/constructor/setter; @Primary vs @Qualifier; circular dependency resolution; @Aspect/@Around/@Before/@After/Pointcut; JDK dynamic proxy vs CGLIB; Spring MVC DispatcherServlet lifecycle; @ControllerAdvice + @ExceptionHandler,01-Aug-26,15-Sep-26,-,In Revision,High,AT-00a,25%,5,Can write working @Aspect with @Around advice; explain JDK vs CGLIB proxy; DispatcherServlet flow diagram from memory
  PHASE 1-A — Core Observability Stack (Prometheus + Grafana + Loki + Tempo + OTel)  [IN PROGRESS — Ends 20-Aug],,,,,,,,,,,,
AT-01,P1-A,Requirements Analysis,"Understand project scope, 13 monitoring targets, deliverables, and confirmed tech stack",10-Jul-26,10-Jul-26,10-Jul-26,Completed,High,None,100%,1,Project kickoff held; 13 metrics documented; tech stack confirmed
AT-02,P1-A,Environment Setup,"Install Java 21, Maven 3.9, Docker Desktop, IntelliJ IDEA, Postman",10-Jul-26,14-Jul-26,14-Jul-26,Completed,High,AT-01,100%,2,All tools installed; Docker WSL2 BIOS issue resolved
AT-03,P1-A,Observability Architecture Study,"Study Prometheus pull model, Grafana, Micrometer, OpenTelemetry, Loki, Tempo, observability 3 pillars",11-Jul-26,17-Jul-26,17-Jul-26,Completed,High,AT-01,100%,3,Architecture notes complete; metrics vs logs vs traces understood; LGTM stack flow documented
AT-04,P1-A,Spring Boot Actuator,"Configure management port 8081; expose /actuator/health, /actuator/prometheus endpoints",17-Jul-26,17-Jul-26,17-Jul-26,Completed,High,"AT-02,AT-03",100%,1,/actuator/prometheus returning Prometheus text format on port 8081
AT-05,P1-A,Micrometer Integration,Add micrometer-registry-prometheus; verify pricing_requests_total counter + Timer in /actuator/prometheus,17-Jul-26,20-Jul-26,20-Jul-26,Completed,High,AT-04,100%,1,"pricing_requests_total{product_type,status} labels visible; Counter increments per API call"
AT-06,P1-A,Prometheus + Grafana + Loki + Tempo Setup,Write prometheus.yml; add all 4 services to docker-compose.yml; connect all 3 Grafana datasources via provisioning YAML,20-Jul-26,24-Jul-26,24-Jul-26,Completed,High,AT-05,100%,3,All 4 scrape targets UP; Loki/Tempo/Prometheus datasources auto-loaded in Grafana
